track_name,artist_names,track_id,artist_id
DAISIES,Justin Bieber,5BZsQlgw21vDOAjoqkNgKb,1uNFoZAHBGtllmzznpCI3s
Somewhere Only We Know,Keane,1SKPmfSYaPsETbRHaiA18G,53A0W3U0s8diEn9RhXQhVz
"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu,7GlBOeep6PqTfFi59PTUUN
Apocalypse,Cigarettes After Sex,1oAwsWBovWRIp7qLMGPIet,1QAJqy2dA3ihHBFIHRphZj
Riptide,Vance Joy,2uXlHCUbq9OMUwx3hrk06o,10exVja0key0uqUkk6LJRT
A Couple Minutes,Olivia Dean,312z6PZ8wwREck8613PkJk,00x1fYSGhdqScXBRpSj3DW
Nice To Each Other,Olivia Dean,7gKxCvTDWwV9wBhdeBbr3l,00x1fYSGhdqScXBRpSj3DW
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V
Talking to the Moon,Bruno Mars,1wVuPmvt6AWvTL5W2GJnzZ,0du5cEVh5yTK9QJze8zA0C
Viva La Vida,Coldplay,3Fcfwhm8oRrBvBZ8KGhtea,4gzpq5DPGxSnKTe4SA8HAU
Let Down,Radiohead,2fuYa3Lx06QQJAm0MjztKr,4Z8W4fKeB5YxbusRsdQVPb
we can't be friends (wait for your love),Ariana Grande,51ZQ1vr10ffzbwIjDCwqm4,66CXWjxzNUsdJxJ2JdwvnR
ni pedo,"Peso Pluma, Tito Double P",7xLfNI4gRNTu6FyXJlzBW5,12GqGscKJx3aE4t07u7eVZ
TU VAS SIN (fav),Rels B,6uiQ0DqbXTBc8tl0AUKZkR,2IMZYfNi21MGqxopj9fWx8
Sports car,Tate McRae,5UJbgR4XF4y1DvbkxEqe8S,45dkTj5sMRSjrmBSBeiHym
Bring Me To Life,Evanescence,0COqiPhxzoWICwFCS4eZcp,5nGIFgo0shDenQYSE0Sn7c
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,1uNFoZAHBGtllmzznpCI3s
like JENNIE,JENNIE,0fK7ie6XwGxQTIkpFoWkd1,250b0Wlc5Vk0CoUsaCY84M
SPAGHETTI,"LE SSERAFIM, j-hope",2N9miXnewVmUrgl6JSK1FI,4SpbR6yFEvexJuaBpgAU5p
We Are The People,Empire Of The Sun,3zEN0ii6s4DHHBpnTp3RP7,67hb7towEyKvt5Z8Bx306c
